+------+----------------------------+
| runs |         Player ID          |
+------+----------------------------+
| 319  |        Virat Kohli         |
| 261  |        Riyan Parag         |
| 255  |        Shubman Gill        |
| 246  |        Sanju Samson        |
| 226  |       Sai Sudharsan        |
| 186  |      Heinrich Klaasen      |
| 178  |      Nicholas Pooran       |
| 177  |      Abhishek Sharma       |
| 176  |        Shivam Dube         |
| 174  |       Tristan Stubbs       |
| 170  |       Faf du Plessis       |
| 161  |        Sunil Narine        |
| 161  |        Ishan Kishan        |
| 158  |        David Warner        |
| 156  |        Rohit Sharma        |
| 155  |      Ruturaj Gaikwad       |
| 153  |        Rishabh Pant        |
| 152  |       Shikhar Dhawan       |
| 145  |      Quinton de Kock       |
| 143  |        Tilak Varma         |
| 143  |        Jos Buttler         |
| 143  |       Dinesh Karthik       |
| 137  |       Shashank Singh       |
| 133  |        Travis Head         |
| 129  |       Hardik Pandya        |
| 127  |       Aiden Markram        |
| 126  |          KL Rahul          |
| 120  |         Sam Curran         |
| 119  |        Prithvi Shaw        |
| 119  |       Ajinkya Rahane       |
| 118  |       Daryl Mitchell       |
| 115  |         Tim David          |
| 115  |       Andre Russell        |
| 112  |      Rachin Ravindra       |
| 109  |     Prabhsimran Singh      |
| 104  |       Marcus Stoinis       |
| 103  |       Rahul Tewatia        |
| 102  |        Philip Salt         |
| 100  |       Rajat Patidar        |
|  91  |        Shreyas Iyer        |
|  91  |       Abishek Porel        |
|  84  |      Ravindra Jadeja       |
|  83  |      Liam Livingstone      |
|  81  |       Jonny Bairstow       |
|  78  |        Nitish Reddy        |
|  78  |    Angkrish Raghuvanshi    |
|  77  |       Jitesh Sharma        |
|  77  |        David Miller        |
|  76  |      Wriddhiman Saha       |
|  73  |       Vijay Shankar        |
|  73  |         Anuj Rawat         |
|  70  |       Shahbaz Ahmed        |
|  69  |        Abdul Samad         |
|  68  |       Cameron Green        |
|  65  |       Venkatesh Iyer       |
|  64  |      Ashutosh Sharma       |
|  63  |      Yashasvi Jaiswal      |
|  63  |        Rinku Singh         |
|  61  |       Mitchell Marsh       |
|  59  |       Mayank Agarwal       |
|  54  |      Romario Shepherd      |
|  52  |      Suryakumar Yadav      |
|  51  |         Axar Patel         |
|  50  |      Ramandeep Singh       |
|  50  |         Naman Dhir         |
|  50  |       Mahipal Lomror       |
|  48  |       Krunal Pandya        |
|  46  |       Dewald Brevis        |
|  45  |    Ravichandran Ashwin     |
|  43  |       Sikandar Raza        |
|  43  |      Shimron Hetmyer       |
|  42  |        Dhruv Jurel         |
|  39  |          MS Dhoni          |
|  33  |         Shai Hope          |
|  32  |       Glenn Maxwell        |
|  31  |       Rahul Tripathi       |
|  29  |        Rashid Khan         |
|  29  |        Ayush Badoni        |
|  28  |     Azmatullah Omarzai     |
|  27  |      Kane Williamson       |
|  26  |        Deepak Hooda        |
|  22  |      Devdutt Padikkal      |
|  18  |       Saurav Chauhan       |
|  14  |       Shahrukh Khan        |
|  14  |       Sameer Rizvi         |
|  12  |        Umesh Yadav         |
|  12  |       Mohammed Siraj       |
|  12  |      Darshan Nalkande      |
|  9   |        Sumit Kumar         |
|  9   |        Nitish Rana         |
|  9   |       Jasprit Bumrah       |
|  8   |         Will Jacks         |
|  8   |       Shubham Dubey        |
|  7   |       Mitchell Starc       |
|  6   |       Jaydev Unadkat       |
|  6   |     Bhuvneshwar Kumar      |
|  5   |      Spencer Johnson       |
|  5   |        Pat Cummins         |
|  5   |       Harpreet Brar        |
|  5   |       Gerald Coetzee       |
|  4   |         Noor Ahmad         |
|  4   |        Matthew Wade        |
|  4   |       Anrich Nortje        |
|  4   |       Akash Madhwal        |
|  3   |         Ricky Bhui         |
|  3   |        Reece Topley        |
|  3   |       Piyush Chawla        |
|  3   |        Lalit Yadav         |
|  3   |         Anukul Roy         |
|  2   |         Sharath BR         |
|  2   |        Mohsin Khan         |
|  2   |      Jhye Richardson       |
|  2   |         Akash Deep         |
|  1   |       Vaibhav Arora        |
|  1   |        Shams Mulani        |
|  1   |      Rasikh Dar Salam      |
