NAME,NAME,OWNER,CATEGORY,STATUS,ISBOWLER,ISBATSMAN, MOM, 6+, HT
Rishabh Pant,RR Pant,AARAV,WK,,FALSE,FALSE
Vishnu Vinod,Vishnu Vinod,AARAV,WK,,FALSE,FALSE
Kagiso Rabada,K Rabada,AARAV,BOW,,TRUE,FALSE
Kuldeep Yadav,Kuldeep Yadav,AARAV,BOW,,TRUE,FALSE
Sandeep Sharma,Sandeep Sharma,AARAV,BOW,,TRUE,FALSE
Akash Madhwal,A Madhwal,AARAV,BOW,,TRUE,FALSE
Harshit Rana,Harshit Rana,AARAV,BOW,,TRUE,FALSE
Noor Ahmad,Noor Ahmad,AARAV,BOW,,TRUE,FALSE
Yash Thakur,Yash Thakur,AARAV,BOW,,TRUE,FALSE
David Miller,DA Miller,AARAV,BAT,,FALSE,TRUE
Manish Pandey,MK Pandey,AARAV,BAT,,FALSE,TRUE
Ruturaj Gaikwad,RD Gaikwad,AARAV,BAT,CAPT,FALSE,TRUE
Tim David,TH David,AARAV,BAT,VCAPT,FALSE,TRUE
Shubham Dubey,Shubham Dubey,AARAV,BAT,,FALSE,TRUE
Axar Patel,AR Patel,AARAV,ALL,,FALSE,FALSE
Krishnappa Gowtham,K Gowtham,AARAV,ALL,,FALSE,FALSE
Mitchell Marsh,MR Marsh,AARAV,ALL,,FALSE,FALSE
Rachin Ravindra,R Ravindra,AARAV,ALL,,FALSE,FALSE
Nicholas Pooran,N Pooran,AARNAV,WK,,FALSE,FALSE
Wriddhiman Saha,WP Saha,AARNAV,WK,,FALSE,FALSE
Avesh Khan,Avesh Khan,AARNAV,BOW,,TRUE,FALSE
Harpreet Brar,Harpreet Brar,AARNAV,BOW,,TRUE,FALSE
Umran Malik,Umran Malik,AARNAV,BOW,,TRUE,FALSE
Mitchell Starc,MA Starc,AARNAV,BOW,VCAPT,TRUE,FALSE
Mohit Sharma,MM Sharma,AARNAV,BOW,,TRUE,FALSE
Sai Kishore,R Sai Kishore,AARNAV,BOW,,TRUE,FALSE
Swapnil Singh,Swapnil Singh,AARNAV,BOW,,TRUE,FALSE
Kane Williamson,KS Williamson,AARNAV,BAT,,FALSE,TRUE
Shahrukh Khan,M Shahrukh Khan,AARNAV,BAT,,FALSE,TRUE
Shikhar Dhawan,S Dhawan,AARNAV,BAT,,FALSE,TRUE
Suryakumar Yadav,SA Yadav,AARNAV,BAT,,FALSE,TRUE
Virat Kohli,V Kohli,AARNAV,BAT,CAPT,FALSE,TRUE
Marcus Stoinis,MP Stoinis,AARNAV,ALL,,FALSE,FALSE
Mitchell Santner,MJ Santner,AARNAV,ALL,,FALSE,FALSE
Washington Sundar,Washington Sundar,AARNAV,ALL,,FALSE,FALSE
